Symbol,SName
RELIANCE.BO,Reliance Industries Limited
TCS.BO,Tata Consultancy Services Limited
HDFCBANK.BO,HDFC Bank Limited
BHARTIARTL.BO,Bharti Airtel Limited
ICICIBANK.BO,ICICI Bank Limited
SBIN.BO,State Bank of India
LICI.BO,Life Insurance Corporation of India
INFY.BO,Infosys Limited
HINDUNILVR.BO,Hindustan Unilever Limited
ITC.BO,ITC Limited
LT.BO,Larsen & Toubro Limited
BAJFINANCE.BO,Bajaj Finance Limited
MARUTI.BO,Maruti Suzuki India Limited
HCLTECH.BO,HCL Technologies Limited
ADANIENT.BO,Adani Enterprises Limited
AXISBANK.BO,Axis Bank Limited
TATAMTRDVR.BO,Tata Motors Limited
TATAMOTORS.BO,Tata Motors Limited
SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
NTPC.BO,NTPC Limited
M&M.BO,Mahindra & Mahindra Limited
HAL.BO,Hindustan Aeronautics Limited
ONGC.BO,Oil and Natural Gas Corporation Limited
KOTAKBANK.BO,Kotak Mahindra Bank Limited
ULTRACEMCO.BO,UltraTech Cement Limited
TITAN.BO,Titan Company Limited
ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
DMART.BO,Avenue Supermarts Limited
COALINDIA.BO,Coal India Limited
POWERGRID.BO,Power Grid Corporation of India Limited
ADANIPOWER.BO,Adani Power Limited
ADANIGREEN.BO,Adani Green Energy Limited
ASIANPAINT.BO,Asian Paints Limited
HINDZINC.BO,Hindustan Zinc Limited
BAJAJ-AUTO.BO,Bajaj Auto Limited
SIEMENS.BO,Siemens Limited
BAJAJFINSV.BO,Bajaj Finserv Ltd.
WIPRO.BO,Wipro Limited
NESTLEIND.BO,Nestlé India Limited
IOC.BO,Indian Oil Corporation Limited
TATASTEEL.BO,Tata Steel Limited
IRFC.BO,Indian Railway Finance Corporation Limited
JIOFIN.BO,Jio Financial Services Limited
BEL.BO,Bharat Electronics Limited
JSWSTEEL.BO,JSW Steel Limited
DLF.BO,DLF Limited
VBL.BO,Varun Beverages Limited
ABB.BO,ABB India Limited
TRENT.BO,Trent Limited
PFC.BO,Power Finance Corporation Limited
GRASIM.BO,Grasim Industries Limited
AMBUJACEM.BO,Ambuja Cements Limited
VEDL.BO,Vedanta Limited
INDIGO.BO,InterGlobe Aviation Limited
ZOMATO.BO,Zomato Limited
PIDILITIND.BO,Pidilite Industries Limited
LODHA.BO,Macrotech Developers Limited
HINDALCO.BO,Hindalco Industries Limited
LTIM.BO,LTIMindtree Limited
BANKBARODA.BO,Bank of Baroda Limited
SBILIFE.BO,SBI Life Insurance Company Limited
GAIL.BO,GAIL (India) Limited
TATAPOWER.BO,The Tata Power Company Limited
GODREJCP.BO,Godrej Consumer Products Limited
PNB.BO,Punjab National Bank
RECLTD.BO,REC Limited
BPCL.BO,Bharat Petroleum Corporation Limited
